mdl-(0,0,1)-83-EE1B555789C2BFD5	vertices = (vtx-A03-83-1-3)	Δ = 83	bI-odd = ([[3,1],[1,0]])	bI-even = ()	(1) : 20 x (irr-A3-4) + 3 x (irr-A3-6)
mdl-(0,0,1)-105-823DF6B6322D88D2	vertices = (vtx-A03-105-2-4)	Δ = 105	bI-odd = ()	bI-even = ([[2,2],[1,1]])	(1) : 24 x (irr-A3-4) + 4 x (irr-A3-6)
mdl-(0,0,1)-127-B41B67580AC3BEB1	vertices = (vtx-A03-127-3-5)	Δ = 127	bI-odd = ([[3,1],[2,1]])	bI-even = ()	(1) : 28 x (irr-A3-4) + 5 x (irr-A3-6)
mdl-(0,0,1)-149-D4D159EF09261A4A	vertices = (vtx-A03-149-4-6)	Δ = 149	bI-odd = ([[3,1],[2,0]])	bI-even = ([[2,2],[2,1]], [[1,4],[1,2]])	(1) : 32 x (irr-A3-4) + 6 x (irr-A3-6)
mdl-(0,0,1)-171-9FB008992B3D7E64	vertices = (vtx-A03-171-5-7)	Δ = 171	bI-odd = ([[3,1],[3,2]])	bI-even = ()	(1) : 36 x (irr-A3-4) + 7 x (irr-A3-6)
mdl-(0,0,1)-176-B62F13E06E404AEC	vertices = (vtx-A03-176-8-8)	Δ = 176	bI-odd = ([[3,1],[3,1]])	bI-even = ([[2,2],[2,2]], [[1,4],[1,4]])	(1) : 32 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-15)
mdl-(0,0,1)-177-ED759AD864AC2C5D	vertices = (vtx-A03-177-8-8)	Δ = 177	bI-odd = ([[3,1],[3,1]])	bI-even = ([[2,2],[2,2]], [[1,4],[1,4]])	(1) : 32 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10)
mdl-(0,0,1)-193-D133531190F812C7	vertices = (vtx-A03-193-6-8)	Δ = 193	bI-odd = ()	bI-even = ([[2,2],[3,1]])	(1) : 40 x (irr-A3-4) + 8 x (irr-A3-6)
mdl-(0,0,1)-198-179261526FF6D804	vertices = (vtx-A03-198-9-9)	Δ = 198	bI-odd = ([[3,1],[3,0]])	bI-even = ()	(1) : 36 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-15)
mdl-(0,0,1)-199-154E8F138DD90BD3	vertices = (vtx-A03-199-9-9)	Δ = 199	bI-odd = ([[3,1],[3,0]])	bI-even = ()	(1) : 36 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10)
mdl-(0,0,1)-203-3C73CEAF4C190332	vertices = (vtx-A03-203-12-10)	Δ = 203	bI-odd = ([[3,1],[4,2]])	bI-even = ([[2,2],[3,2]], [[1,4],[1,6]])	(1) : 32 x (irr-A3-4) + 10 x (irr-A3-6) + 2 x (irr-A3-15)
mdl-(0,0,1)-204-DC0330E5C626AD18	vertices = (vtx-A03-204-12-10)	Δ = 204	bI-odd = ([[3,1],[4,2]])	bI-even = ([[2,2],[3,2]], [[1,4],[1,6]])	(1) : 32 x (irr-A3-4) + 11 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-15)
mdl-(0,0,1)-205-6868EB36420C96F4	vertices = (vtx-A03-205-12-10)	Δ = 205	bI-odd = ([[3,1],[4,2]])	bI-even = ([[2,2],[3,2]], [[1,4],[1,6]])	(1) : 32 x (irr-A3-4) + 12 x (irr-A3-6) + 2 x (irr-A3-10)
mdl-(0,0,1)-208-AFB734CC96BDD800	vertices = (vtx-A03-208-15-11)	Δ = 208	bI-odd = ([[3,1],[4,1]])	bI-even = ()	(1) : 28 x (irr-A3-4) + 11 x (irr-A3-6) + 3 x (irr-A3-15)
mdl-(0,0,1)-209-B7DD012EC70BFCFE	vertices = (vtx-A03-209-15-11)	Δ = 209	bI-odd = ([[3,1],[4,1]])	bI-even = ()	(1) : 28 x (irr-A3-4) + 12 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15)
mdl-(0,0,1)-210-9266B56636087EA6	vertices = (vtx-A03-210-15-11)	Δ = 210	bI-odd = ([[3,1],[4,1]])	bI-even = ()	(1) : 28 x (irr-A3-4) + 13 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
mdl-(0,0,1)-211-F0E54A2F6DEE5CD0	vertices = (vtx-A03-211-15-11)	Δ = 211	bI-odd = ([[3,1],[4,1]])	bI-even = ()	(1) : 28 x (irr-A3-4) + 14 x (irr-A3-6) + 3 x (irr-A3-10)
mdl-(0,0,1)-213-0801986739ECC782	vertices = (vtx-A03-213-12-10)	Δ = 213	bI-odd = ([[3,1],[4,2]])	bI-even = ([[2,2],[3,2]], [[1,4],[1,6]])	(1) : 43 x (irr-A3-4) + 6 x (irr-A3-6) + 1 x (irr-A3-20a)
mdl-(0,0,1)-213-86FEC038280A18A5	vertices = (vtx-A03-213-18-12)	Δ = 213	bI-odd = ()	bI-even = ([[2,2],[3,3]])	(1) : 24 x (irr-A3-4) + 12 x (irr-A3-6) + 4 x (irr-A3-15)
mdl-(0,0,1)-214-D53345196F28BD3E	vertices = (vtx-A03-214-18-12)	Δ = 214	bI-odd = ()	bI-even = ([[2,2],[3,3]])	(1) : 24 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 3 x (irr-A3-15)
mdl-(0,0,1)-215-D8A022191D06CCB9	vertices = (vtx-A03-215-7-9)	Δ = 215	bI-odd = ([[3,1],[4,3]])	bI-even = ()	(1) : 44 x (irr-A3-4) + 9 x (irr-A3-6)
