mdl-(1,0,0)-17-B43F113C0FC2DEC2	vertices = (vtx-A03-17-n2-0)	Δ = 17	bI-odd = ()	bI-even = ([[2,2],[1,-1]])	(1) : 8 x (irr-A3-4)
mdl-(1,0,0)-39-CC148F940D2EA4D1	vertices = (vtx-A03-39-n1-1)	Δ = 39	bI-odd = ([[3,1],[0,-1]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 1 x (irr-A3-6)
mdl-(1,0,0)-26-1D5D2C745E1538B6	vertices = (vtx-A04-26-n2-0)	Δ = 26	bI-odd = ()	bI-even = ([[2,2],[1,-1]])	(1) : 10 x (irr-A4-5)
mdl-(1,0,0)-51-121A4C881EC3A064	vertices = (vtx-A04-51-n1-1)	Δ = 51	bI-odd = ([[3,1],[0,-1]])	bI-even = ()	(1) : 13 x (irr-A4-5) + 1 x (irr-A4-10)
mdl-(1,0,0)-37-BD23D7293D946D03	vertices = (vtx-A05-37-n2-0)	Δ = 37	bI-odd = ()	bI-even = ([[2,2],[1,-1]])	(1) : 12 x (irr-A5-6)
mdl-(1,0,0)-64-E1D0B2C1A1A8F097	vertices = (vtx-A05-64-n1-1)	Δ = 64	bI-odd = ([[3,1],[0,-1]])	bI-even = ()	(1) : 14 x (irr-A5-6) + 1 x (irr-A5-15)
mdl-(1,0,0)-65-EA408512E1E03B7C	vertices = (vtx-A05-65-n1-1)	Δ = 65	bI-odd = ([[3,1],[0,-1]])	bI-even = ()	(1) : 15 x (irr-A5-6) + 0.5 x (irr-A5-20-q)
mdl-(1,0,0)-50-44EC4E432A6C3006	vertices = (vtx-A06-50-n2-0)	Δ = 50	bI-odd = ()	bI-even = ([[2,2],[1,-1]])	(1) : 14 x (irr-A6-7)
mdl-(1,0,0)-78-55233D42F8D2DDF4	vertices = (vtx-A06-78-n1-1)	Δ = 78	bI-odd = ([[3,1],[0,-1]])	bI-even = ()	(1) : 15 x (irr-A6-7) + 1 x (irr-A6-21)
mdl-(1,0,0)-n27-1EBF96D55BD6454D	vertices = (vtx-A07-n27-n1-n1)	Δ = -27	bI-odd = ([[3,1],[0,1]])	bI-even = ()	(1) : 1 x (irr-A7-36)
mdl-(1,0,0)-65-36645BDFF1F9AF08	vertices = (vtx-A07-65-n2-0)	Δ = 65	bI-odd = ()	bI-even = ([[2,2],[1,-1]])	(1) : 16 x (irr-A7-8)
