mdl-(0,0,1)-83-1ACFB5C7C3B9713A	vertices = (vtx-A03-83-1-3)	Δ = 83	bI-odd = ([[3],[1]])	bI-even = ()	(1) : 20 x (irr-A3-4) + 3 x (irr-A3-6)
mdl-(0,0,1)-149-90BC03B1F4CD1679	vertices = (vtx-A03-149-4-6)	Δ = 149	bI-odd = ([[3],[2]])	bI-even = ()	(1) : 32 x (irr-A3-4) + 6 x (irr-A3-6)
mdl-(0,0,1)-198-F50682C93D2ADD78	vertices = (vtx-A03-198-9-9)	Δ = 198	bI-odd = ([[3],[3]])	bI-even = ()	(1) : 36 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-15)
mdl-(0,0,1)-199-493C29E096CF78F3	vertices = (vtx-A03-199-9-9)	Δ = 199	bI-odd = ([[3],[3]])	bI-even = ()	(1) : 36 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10)
mdl-(0,0,1)-230-35DBF47BDCEC76BA	vertices = (vtx-A03-230-16-12)	Δ = 230	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 32 x (irr-A3-4) + 12 x (irr-A3-6) + 3 x (irr-A3-15)
mdl-(0,0,1)-231-D839A285756123CB	vertices = (vtx-A03-231-16-12)	Δ = 231	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 32 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15)
mdl-(0,0,1)-232-89052440010BD51B	vertices = (vtx-A03-232-16-12)	Δ = 232	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 32 x (irr-A3-4) + 14 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
mdl-(0,0,1)-233-46F092D26120713D	vertices = (vtx-A03-233-16-12)	Δ = 233	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 32 x (irr-A3-4) + 15 x (irr-A3-6) + 3 x (irr-A3-10)
mdl-(0,0,1)-240-3623951C203CDD5D	vertices = (vtx-A03-240-16-12)	Δ = 240	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 43 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
mdl-(0,0,1)-241-8797DCD20C278101	vertices = (vtx-A03-241-16-12)	Δ = 241	bI-odd = ([[3],[4]])	bI-even = ()	(1) : 43 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-20a)
